lat,lng,iso2,city_ascii,admin_name
24.3485,88.3243,IN,Bhagwangola,West Bengal
45.4833,8.7000,IT,Galliate,Piedmont
14.7629,-16.6909,SN,Khombole,Thiès
52.0870,-0.7220,GB,Newport Pagnell,Milton Keynes
34.4391,-86.9396,US,Hartselle,Alabama
9.9536,-84.1926,CR,Pozos,San José
14.2069,101.2142,TH,Nakhon Nayok,Nakhon Nayok
22.4835,88.4997,IN,Baynala,West Bengal
9.9250,-0.4297,GH,Karaga,Northern
-41.6167,-73.6000,CL,Maullin,Los Lagos
42.0500,59.4000,TM,Akdepe,Daşoguz
21.0836,-77.7472,CU,Najasa,Camagüey
45.3728,11.1303,IT,Zevio,Veneto
35.8625,14.5675,MT,Marsaskala,Marsaskala
16.8731,77.8909,IN,Muhammadabad,Andhra Pradesh
-29.6208,-54.1789,BR,Sao Pedro do Sul,Rio Grande do Sul
35.1373,-4.7107,MA,Sebt Bni Smith,Tanger-Tétouan-Al Hoceïma
22.3667,-102.3000,MX,Cosio,Aguascalientes
19.3336,97.9656,TH,Ban Pang Mu,Mae Hong Son
8.8320,77.3570,IN,Kadaiyam,Tamil Nādu
25.8747,86.8855,IN,Belo,Bihār
23.6624,121.0157,TW,Xinyi,Nantou
40.9627,-74.3041,US,Pequannock,New Jersey
17.4993,78.4583,IN,Kompalle,Andhra Pradesh
31.0000,33.0167,EG,Bi'r al `Abd,Shamāl Sīnā’
32.3931,51.3392,IR,Chamgardan,Eşfahān
41.8379,-71.3174,US,Seekonk,Massachusetts
16.9989,81.5061,IN,Ernagudem,Andhra Pradesh
17.2000,-98.4500,MX,Cochoapa el Grande,Guerrero
48.6750,5.8917,FR,Toul,Grand Est
-37.3833,-70.2667,AR,Chos Malal,Neuquén
-20.4381,-48.0122,BR,Ipua,São Paulo
42.5977,-82.8821,US,Mount Clemens,Michigan
47.7936,1.0664,FR,Vendome,Centre-Val de Loire
54.2000,27.8500,BY,Lahoysk,Minskaya Voblasts’
28.6825,-17.7650,ES,Santa Cruz de la Palma,Canary Islands
34.3000,135.5000,JP,Kasagi,Wakayama
32.4833,-7.9167,MA,Skhour Rehamna,Marrakech-Safi
14.5167,-90.8000,GT,San Miguel Duenas,Sacatepéquez
22.3334,114.1924,HK,Tung Tau Tsuen,
36.3212,138.5088,JP,Miyota,Nagano
27.8192,-82.7384,US,West Lealman,Florida
-9.1269,-37.6050,BR,Canapi,Alagoas
53.4877,-1.3149,GB,Swinton,Rotherham
37.5904,-84.2898,US,Berea,Kentucky
-10.5494,-37.5344,BR,Frei Paulo,Sergipe
39.6111,40.9789,TR,Cat,Erzurum
38.1970,-85.8136,US,Shively,Kentucky
16.6400,-89.6500,GT,El Chal,Petén
50.9833,44.7833,RU,Zhirnovsk,Volgogradskaya Oblast’
45.9631,5.3541,FR,Amberieu-en-Bugey,Auvergne-Rhône-Alpes
10.6167,75.9833,IN,Edakkazhiyur,Kerala
33.1912,107.3732,CN,Machang,Shaanxi
25.4900,72.1300,IN,Jasol,Rājasthān
33.8036,-7.0372,MA,Sabbah,Rabat-Salé-Kénitra
-6.8367,-79.9342,PE,Puerto Pimentel,Lambayeque
51.5340,0.0080,GB,West Ham,Newham
47.1278,8.7431,CH,Einsiedeln,Schwyz
11.5500,77.7167,IN,Chittur,Tamil Nādu
12.5602,76.2611,IN,Saligrama,Karnātaka
45.5783,9.3522,IT,Agrate Brianza,Lombardy
-26.9608,-50.4269,BR,Santa Cecilia,Santa Catarina
41.6319,0.8961,ES,Mollerusa,Catalonia
10.2803,78.5360,IN,Ponnamaravati,Tamil Nādu
49.4000,8.6333,DE,Eppelheim,Baden-Württemberg
31.6686,20.2503,LY,Qaryat Suluq,Banghāzī
47.8067,20.5647,HU,Mezokovesd,Borsod-Abaúj-Zemplén
34.1823,74.5506,IN,Palhalan,Jammu and Kashmīr
33.2167,133.1333,JP,Shimanto,Kōchi
20.8667,105.6667,VN,My Luong,Hà Nội
51.4300,-2.7600,GB,Nailsea,North Somerset
45.1600,9.7050,IT,Codogno,Lombardy
49.3667,7.1167,DE,Schiffweiler,Saarland
36.1167,3.2333,DZ,Souagui,Médéa
13.2404,74.9541,IN,Kukkundur,Karnātaka
22.0230,88.5033,IN,Sanatikri,West Bengal
48.0500,24.2000,UA,Rakhiv,Zakarpatska Oblast
40.2810,-86.5212,US,Frankfort,Indiana
10.4894,77.3499,IN,Kumaralingam,Tamil Nādu
50.8167,3.2167,BE,Bissegem,Flanders
-26.1608,-51.5528,BR,Bituruna,Paraná
30.8656,55.2703,IR,Anar,Kermān
18.5500,-11.4166,MR,Tidjikja,Tagant
37.3792,-89.6522,US,Jackson,Missouri
38.3500,35.0867,TR,Yesilhisar,Kayseri
-0.3864,31.3186,UG,Kyazanga,Lwengo
32.2687,-110.7437,US,Tanque Verde,Arizona
36.1680,-82.8197,US,Greeneville,Tennessee
-26.6319,-48.6850,BR,Barra Velha,Santa Catarina
60.2456,10.9528,NO,Nannestad,Viken
-25.9667,-54.5833,AR,Wanda,Misiones
-24.2888,-47.1332,BR,Itariri,São Paulo
23.7889,75.8116,IN,Barod,Madhya Pradesh
-13.7728,-42.7139,BR,Igapora,Bahia
-0.3911,31.4606,UG,Lwengo,Lwengo
43.8058,4.6603,FR,Tarascon,Provence-Alpes-Côte d’Azur
-9.3389,-38.2569,BR,Gloria,Bahia
-34.5333,20.0417,ZA,Bredasdorp,Western Cape
17.0580,-13.9090,MR,Aleg,Brakna
8.0244,-61.8819,VE,El Palmar,Bolívar
30.6350,-81.5678,US,Yulee,Florida
48.1667,27.3167,MD,Edinet,Edineţ
53.1400,-1.5500,GB,Matlock,Derbyshire
48.6500,11.7833,DE,Mainburg,Bavaria
12.3667,17.0500,TD,Bokoro,Hadjer-Lamis
59.3500,26.3500,EE,Rakvere,Rakvere
44.4833,21.6667,RS,Kucevo,Kučevo
12.0667,1.7833,BF,Diapaga,Est
43.5478,11.0411,IT,Certaldo,Tuscany
36.3833,6.4667,DZ,Ebn Ziad,Constantine
47.8733,-122.2582,US,Lake Stickney,Washington
37.1503,-94.3225,US,Carthage,Missouri
60.9000,34.2000,RU,Podporozhye,Leningradskaya Oblast’
41.7819,19.6444,AL,Lezhe,Lezhë
50.1861,15.0417,CZ,Nymburk,Středočeský Kraj
9.9998,77.4641,IN,Palanisettipatti,Tamil Nādu
35.0000,134.3500,JP,Sayo,Hyōgo
37.6873,-97.1352,US,Andover,Kansas
22.1519,77.0617,IN,Sirali,Madhya Pradesh
57.4954,12.6805,SE,Kinna,Västra Götaland
42.5089,1.5408,AD,Escaldes-Engordany,Escaldes-Engordany
25.6904,86.3809,IN,Meghauna,Bihār
35.6022,51.3486,IR,Morteza Gerd,Tehrān
24.3222,120.8447,TW,Zhuolan,Miaoli
